# Unicode CLDR 48.2 emoji annotations (English and Korean).
# Source: https://github.com/unicode-org/cldr/tree/release-48-2/common
# Copyright © 1991-2025 Unicode, Inc.
# SPDX-License-Identifier: Unicode-3.0
# emoji\tEnglish short name\tEnglish keywords\tKorean short name\tKorean keywords
😀	grinning face	cheerful | cheery | face | grin | grinning | happy | laugh | nice | smile | smiling | teeth	활짝 웃는 얼굴	미소 | 발랄함 | 스마일 | 얼굴 | 웃음 | 치아 | 행복 | 환호 | 활짝 웃는 얼굴
😃	grinning face with big eyes	awesome | big | eyes | face | grin | grinning | happy | mouth | open | smile | smiling | teeth | yay	눈을 크게 뜨고 웃는 얼굴	눈을 크게 뜨고 웃는 얼굴 | 미소 | 스마일 | 얼굴 | 예이 | 웃고 있는 | 입 | 입 벌리고 웃는 얼굴 | 좋아 | 치아 | 행복
😄	grinning face with smiling eyes	eye | eyes | face | grin | grinning | happy | laugh | lol | mouth | open | smile | smiling	미소 짓는 눈으로 활짝 웃는 얼굴	ㅎㅎ | 눈 | 눈웃음 지으며 활짝 웃는 얼굴 | 미소 | 미소 짓는 눈으로 활짝 웃는 얼굴 | 스마일 | 얼굴 | 웃음 | 입 | 입 벌리고 웃는 눈웃음 얼굴 | 행복 | 활짝 웃는
😁	beaming face with smiling eyes	beaming | eye | eyes | face | grin | grinning | happy | nice | smile | smiling | teeth	미소 짓는 눈으로 웃는 얼굴	나이스 | 눈 | 눈웃음 | 눈웃음 짓는 웃는 얼굴 | 미소 | 미소 짓는 눈으로 웃는 얼굴 | 스마일 | 얼굴 | 치아 | 행복
😆	grinning squinting face	closed | eyes | face | grinning | haha | hahaha | happy | laugh | lol | mouth | open | rofl | smile | smiling | squinting	눈웃음짓는 얼굴	ㅋㅋㅋ | ㅎㅎㅎ | 눈 감고 미소 | 눈 감고 웃는 얼굴 | 눈웃음 지으며 입 벌리고 웃는 얼굴 | 눈웃음 짓는 얼굴 | 만족 | 벌린 | 얼굴 | 웃음 | 입 벌리고 미소 | 하하하
😅	grinning face with sweat	cold | dejected | excited | face | grinning | mouth | nervous | open | smile | smiling | stress | stressed | sweat	땀 흘리며 웃는 얼굴	긴장 | 낙담한 | 땀 | 땀 흘리며 웃는 얼굴 | 미소 | 벌린 | 스마일 | 스트레스 | 식은땀 | 얼굴 | 웃고 있지만 당황한 얼굴 | 웃고 있지만 당황해서 땀 흘리는 얼굴
🤣	rolling on the floor laughing	crying | face | floor | funny | haha | happy | hehe | hilarious | joy | laugh | lmao | lol | rofl | roflmao | rolling | tear	바닥을 구르며 웃는 얼굴	ㅋㅋㅋ | ㅎㅎㅎ | 구르기 | 눈물나게 웃긴 | 데굴데굴 | 바닥을 구르며 웃는 얼굴 | 빵 터짐 | 얼굴 | 완전 재미있는 | 웃음 | 하하 | 행복
😂	face with tears of joy	crying | face | feels | funny | haha | happy | hehe | hilarious | joy | laugh | lmao | lol | rofl | roflmao | tear	기쁨의 눈물을 흘리는 얼굴	ㅎㅎ | 기쁨의 눈물을 흘리는 얼굴 | 너무 웃겨서 눈물 | 너무 웃기는 | 눈물 | 스마일 | 얼굴 | 울면서 웃음 | 웃음 | 하하 | 행복 | 헤헤
🙂	slightly smiling face	face | happy | slightly | smile | smiling	살짝 미소 짓는 얼굴	미소 | 살짝 미소 짓는 얼굴 | 스마일 | 얼굴 | 행복
🙃	upside-down face	face | hehe | smile | upside-down	거꾸로 된 얼굴	거꾸로 된 얼굴 | 뒤집힘 | 미소 | 얼굴 | 위아래 | 헤헤
🫠	melting face	disappear | dissolve | embarrassed | face | haha | heat | hot | liquid | lol | melt | melting | sarcasm | sarcastic	녹아 내리는 얼굴	녹는 | 녹다 | 녹아 내리는 얼굴 | 녹아내리는 | 당황한 | 더운 | 뜨거운 | 부끄러운 | 비웃는 | 열기 | 하하하 | 핫
😉	winking face	face | flirt | heartbreaker | sexy | slide | tease | wink | winking | winks	윙크하는 얼굴	놀림 | 섹시 | 얼굴 | 윙크 | 윙크하는 얼굴 | 유혹
😊	smiling face with smiling eyes	blush | eye | eyes | face | glad | satisfied | smile | smiling	미소 짓는 눈으로 살짝 웃는 얼굴	기쁨 | 눈 | 눈웃음 | 눈웃음 지으며 웃는 얼굴 | 만족 | 미소 | 미소 짓는 눈으로 살짝 웃는 얼굴 | 발그레 | 스마일 | 얼굴 | 웃는 얼굴
😇	smiling face with halo	angel | angelic | angels | blessed | face | fairy | fairytale | fantasy | halo | happy | innocent | peaceful | smile | smiling | spirit | tale	후광이 비치는 웃는 얼굴	동화 | 미소 | 순수한 | 스마일 | 얼굴 | 웃는 얼굴 | 웃는 얼굴 천사 | 천사같은 | 천사고리가 있는 얼굴 | 후광이 비치는 웃는 얼굴
🥰	smiling face with hearts	3 | adore | crush | face | heart | hearts | ily | love | romance | smile | smiling | you	하트와 함께 웃는 얼굴	반한 | 사랑에 빠진 | 사랑에 빠진 얼굴 | 사랑하는 | 사랑해 | 스마일 | 하트 | 하트 3개와 함께 웃는 얼굴 | 하트와 함께 웃는 얼굴
😍	smiling face with heart-eyes	143 | bae | eye | face | feels | heart-eyes | hearts | ily | kisses | love | romance | romantic | smile | xoxo	하트 눈 얼굴	느낌 | 로맨틱 | 뽀뽀 | 사랑 | 사랑해 | 스마일 | 얼굴 | 하트 | 하트 눈 얼굴 | 하트 뿅뿅 얼굴
🤩	star-struck	excited | eyes | face | grinning | smile | star | star-struck | starry-eyed | wow	반한 얼굴	반짝이는 눈으로 미소짓는 | 반한 얼굴 | 별 눈 | 별 모양의 눈 | 신나는 | 와우
😘	face blowing a kiss	adorbs | bae | blowing | face | flirt | heart | ily | kiss | love | lover | miss | muah | romantic | smooch | xoxo | you	키스를 보내는 얼굴	로맨틱 | 뽀뽀 | 사랑 | 사랑스러움 | 사랑하는 사람 | 얼굴 | 연인 | 키스 | 키스를 날리는 얼굴 | 하트
😗	kissing face	143 | date | dating | face | flirt | ily | kiss | love | smooch | smooches | xoxo | you	키스하는 얼굴	데이트 | 뽀뽀 | 사랑 | 사랑해 | 얼굴 | 연애 | 입술을 내민 얼굴 | 키스 | 키스하는 얼굴
☺	smiling face	face | happy | outlined | relaxed | smile | smiling	웃는 얼굴	미소 | 스마일 | 얼굴 | 웃는 얼굴 | 웃음 | 웃음 짓는 얼굴 | 편안한 | 행복
😚	kissing face with closed eyes	143 | bae | blush | closed | date | dating | eye | eyes | face | flirt | ily | kisses | kissing | smooches | xoxo	눈을 감은 채로 키스하는 얼굴	감은 눈 | 눈을 감은 채로 키스하는 얼굴 | 데이트 | 발그레 | 뽀뽀 | 사랑해 | 얼굴 | 연애 | 연인 | 키스
😙	kissing face with smiling eyes	143 | closed | date | dating | eye | eyes | face | flirt | ily | kiss | kisses | kissing | love | night | smile | smiling	미소 짓는 눈으로 키스하는 얼굴	감은 눈 | 데이트 | 미소 짓는 눈으로 키스하는 얼굴 | 뽀뽀 | 사랑 | 스마일 | 얼굴 | 연애 | 웃으면서 뽀뽀하는 얼굴 | 키스
🥲	smiling face with tear	face | glad | grateful | happy | joy | pain | proud | relieved | smile | smiley | smiling | tear | touched	눈물 흘리며 웃는 얼굴	감동 | 감사 | 고통 | 긍지 | 눈물 | 눈물 흘리며 웃는 얼굴 | 미소 | 안도 | 자랑 | 행복
😋	face savoring food	delicious | eat | face | food | full | hungry | savor | smile | smiling | tasty | um | yum | yummy	맛있는 음식을 음미하는 얼굴	냠냠 | 맛있는 음식을 음미하는 얼굴 | 맛있어 | 맛있어하는 얼굴 | 미소 | 배고픈 | 배부른 | 얼굴 | 음 | 음미 | 음식
😛	face with tongue	awesome | cool | face | nice | party | stuck-out | sweet | tongue	혀를 내민 얼굴	달콤 | 대단해 | 메롱하는 얼굴 | 얼굴 | 파티 | 혀 | 혀를 내민 얼굴
😜	winking face with tongue	crazy | epic | eye | face | funny | joke | loopy | nutty | party | stuck-out | tongue | wacky | weirdo | wink | winking | yolo	윙크하면서 혀를 내민 얼굴	괴짜 | 농담 | 약간 정신이 나간 | 얼굴 | 열광하는 | 욜로 | 윙크 | 윙크하면서 메롱하는 얼굴 | 윙크하면서 혀를 내민 얼굴 | 이상한 | 재미있는 | 혀
